episode,timestamp,reward,length,quality_improvement,quality_final,quality_initial,termination_reason,success,policy_loss,value_loss,entropy,kl_divergence,learning_rate,gradient_norm,episode_time,memory_usage,logo_type,difficulty
1,2025-10-01T18:51:22.929846,0.6666666666666666,4,0.6666666666666666,0.6666666666666666,0.25,epoch_complete,True,1.5536353886127472,1.1317689418792725,,,0.001,2.385964543256819,3.57206392288208,650.80078125,,
2,2025-10-01T18:51:26.441733,0.6,4,-0.06666666666666665,0.6,0.4166666666666667,epoch_complete,False,1.1488714516162872,0.7269695401191711,,,0.001,3.6795588368594863,3.4599831104278564,651.328125,,
3,2025-10-01T18:51:29.840028,1.0,4,0.33333333333333337,1.0,0.5666666666666667,epoch_complete,True,0.8514573574066162,0.39039528369903564,,,0.001,4.343268641669154,3.3965630531311035,651.375,,
4,2025-10-01T18:51:32.994237,1.0,4,0.0,1.0,0.85,epoch_complete,False,0.4347824677824974,0.1181822121143341,,,0.001,4.758462591944348,3.132059097290039,651.4296875,,
5,2025-10-01T18:51:36.241837,1.0,4,0.0,1.0,0.9333333333333333,epoch_complete,False,0.30394730903208256,0.042462270706892014,,,0.001,2.220530762899189,3.2457549571990967,651.4375,,
6,2025-10-01T18:51:40.657972,1.0,4,0.0,1.0,0.9166666666666666,epoch_complete,False,0.18692997563630342,0.02885003201663494,,,0.001,4.180814962359446,3.243736982345581,665.0859375,,
7,2025-10-01T18:51:44.047713,1.0,4,0.0,1.0,0.9833333333333333,epoch_complete,False,0.12177940178662539,0.022950267419219017,,,0.001,47.74540201278312,3.38728404045105,665.19140625,,
8,2025-10-01T18:51:48.956159,0.9333333333333333,4,-0.06666666666666665,0.9333333333333333,0.9833333333333333,epoch_complete,False,0.0402852343977429,0.10634515434503555,,,0.001,0.22100780581737126,4.905496120452881,662.859375,,
9,2025-10-01T18:51:56.450326,1.0,4,0.0,1.0,0.9166666666666666,epoch_complete,False,0.14966836106032133,0.04055005684494972,,,0.001,19.84650885937736,7.4923717975616455,662.8984375,,
10,2025-10-01T18:52:02.251873,1.0,4,0.0,1.0,0.9833333333333333,epoch_complete,False,0.0458364855585387,0.0013392915716394782,,,0.001,0.042320887745424876,5.799731969833374,662.94140625,,
11,2025-10-01T18:52:07.954713,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.014728761976584792,0.007178234867751598,,,0.001,0.7221762665847217,4.716012001037598,671.4765625,,
12,2025-10-01T18:52:14.197475,1.0,4,0.0,1.0,0.9833333333333333,epoch_complete,False,0.05330746341496706,0.0017233307007700205,,,0.001,8.504430520622346,6.241112232208252,671.51953125,,
13,2025-10-01T18:52:20.416707,1.0,4,0.0,1.0,0.9833333333333333,epoch_complete,False,0.061281037516891956,0.0007013256545178592,,,0.001,0.29236985738511223,6.217213153839111,671.53125,,
14,2025-10-01T18:52:24.321547,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.01184471370652318,0.0003921417228411883,,,0.001,2.7135427655997253,3.9024860858917236,671.5703125,,
15,2025-10-01T18:52:29.627123,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.004017991595901549,0.00023409244022332132,,,0.001,0.08508396243997603,5.303837060928345,671.58984375,,
16,2025-10-01T18:52:35.885649,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.0019950945425080135,0.00018078272114507854,,,0.001,0.3318903750278435,5.02172589302063,684.16015625,,
17,2025-10-01T18:52:41.038211,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.002061854941082686,0.0001397868909407407,,,0.001,7.157962184796006e-05,5.150675058364868,684.16015625,,
18,2025-10-01T18:52:45.755557,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.00442741991719231,0.00010751964146038517,,,0.001,1.5645194269473173,4.715219020843506,684.16015625,,
19,2025-10-01T18:52:50.992760,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.000859228806803003,9.21142564038746e-05,,,0.001,0.019822971452732274,5.23525595664978,684.16015625,,
20,2025-10-01T18:52:56.086278,1.0,4,0.0,1.0,1.0,epoch_complete,False,0.0008229408658735338,6.132168346084654e-05,,,0.001,0.0035700245369489486,5.091268062591553,684.16015625,,
